collapse_pyr_dfg__113.txt
node ID,0,3,5,7,9,11,15,16,19,21,23,25,27,28,31,33,35,37,38,41,44,46,48,50,52,56,57,60,62,64,66,68,69,72,74,76,78,79,82,85,87,90,91,93,95,96,99,101,103,105,107,108,111,113,115,117,-1
asap,1,5,7,11,13,1,1,5,9,11,15,19,1,3,7,9,13,17,1,5,9,11,15,19,9,5,9,13,15,19,21,5,7,11,13,17,19,1,3,7,9,17,23,27,5,9,13,15,19,21,5,7,11,13,17,19,33
alap,199,203,205,209,211,185,193,197,201,203,207,211,195,197,201,203,207,211,191,197,201,203,207,211,193,195,199,203,205,209,211,197,199,203,205,209,211,193,197,201,203,201,207,211,195,199,203,205,209,211,197,199,203,205,209,211,217
REST,1,5,7,23,37,1,1,5,21,11,15,37,1,5,21,11,13,43,1,5,21,11,15,43,9,5,9,23,15,21,43,5,9,23,15,17,43,1,5,21,11,17,23,43,5,9,23,15,19,43,5,9,23,15,17,43,-1
E_REST,25,29,31,35,37,17,19,23,27,29,33,37,27,29,33,35,39,43,23,29,33,35,39,43,25,27,31,35,37,41,43,29,31,35,37,41,43,25,29,33,35,33,39,43,27,31,35,37,41,43,29,31,35,37,41,43,-1
schd_time without rest,1,11,27,31,33,1,5,9,13,15,21,27,3,5,9,11,17,21,1,13,17,19,25,39,9,9,21,25,31,35,45,5,25,29,35,39,51,1,17,21,23,17,29,57,13,29,33,39,43,63,7,33,37,43,47,69,75
total energy without rest,2568.0
energy delay product without rest,192600.0
schd_time with rest,1,11,27,31,33,1,5,9,13,15,21,27,3,5,9,11,17,21,1,13,17,19,25,39,9,9,21,25,31,35,45,5,25,29,35,39,51,1,17,21,23,17,29,57,13,29,33,39,43,63,7,33,37,43,47,69,75
total energy with rest,2568.0
energy delay product with rest,192600.0
