smooth_color_z_triangle_dfg__31.txt
node ID,2,6,7,9,10,14,16,17,20,21,23,24,28,30,31,33,36,39,40,42,43,47,49,50,53,54,56,57,61,63,64,66,69,73,74,76,79,80,82,83,84,87,92,93,95,98,99,101,102,103,106,107,109,110,114,116,117,120,121,123,124,128,130,131,133,136,139,140,142,143,147,149,150,153,154,156,157,161,163,164,166,169,173,174,176,179,180,182,183,184,187,192,193,195,198,199,201,202,203,206,207,209,210,214,216,217,220,221,223,224,228,230,231,233,236,239,240,242,243,247,249,250,253,254,256,257,261,263,264,266,269,273,274,276,279,280,282,283,284,287,292,293,295,298,299,301,302,303,306,307,309,310,314,316,317,320,321,323,324,328,330,331,333,336,339,340,342,343,347,349,350,353,354,356,357,361,363,364,366,369,373,374,376,379,380,382,383,384,387,392,393,395,398,399,401,402,403,-1
asap,1,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,3,25,1,3,25,29,35,39,1,3,25,1,3,25,29,35,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,3,25,1,3,25,29,35,39,1,3,25,1,3,25,29,35,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,3,25,1,3,25,29,35,39,1,3,25,1,3,25,29,35,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,1,1,3,7,9,11,1,1,1,3,7,9,11,15,21,1,3,25,1,3,25,29,35,39,1,3,25,1,3,25,29,35,43
alap,689,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,669,671,675,669,671,675,679,685,689,673,675,679,673,675,679,683,689,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,669,671,675,669,671,675,679,685,689,673,675,679,673,675,679,683,689,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,669,671,675,669,671,675,679,685,689,673,675,679,673,675,679,683,689,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,655,653,651,653,657,659,661,655,653,651,653,657,659,661,665,671,669,671,675,669,671,675,679,685,689,673,675,679,673,675,679,683,689,693
REST,1,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,3,25,1,3,25,59,35,39,1,3,25,1,3,25,65,35,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,3,25,1,3,25,65,35,39,1,3,25,1,3,25,65,35,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,3,25,1,3,25,65,35,39,1,3,25,1,3,25,65,35,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,1,1,3,7,9,11,1,1,1,3,7,9,11,35,29,1,3,25,1,3,25,65,35,39,1,3,25,1,3,25,65,35,-1
E_REST,1,35,33,31,33,37,39,41,35,33,31,33,37,39,41,45,51,35,33,31,33,37,39,41,35,33,31,33,37,39,41,45,51,49,51,55,49,51,55,59,35,39,55,57,61,55,57,61,65,35,41,39,37,39,43,45,47,41,39,37,39,43,45,47,51,57,41,39,37,39,43,45,47,41,39,37,39,43,45,47,51,57,55,57,61,55,57,61,65,35,39,55,57,61,55,57,61,65,35,41,39,37,39,43,45,47,41,39,37,39,43,45,47,51,57,41,39,37,39,43,45,47,41,39,37,39,43,45,47,51,57,55,57,61,55,57,61,65,35,39,55,57,61,55,57,61,65,35,41,39,37,39,43,45,47,41,39,37,39,43,45,47,51,57,41,39,37,39,43,45,47,41,39,37,39,43,45,47,51,57,55,57,61,55,57,61,65,35,39,55,57,61,55,57,61,65,35,-1
schd_time without rest,65,33,1,1,3,33,61,67,33,1,3,7,35,65,71,75,81,37,5,5,11,37,69,75,37,5,7,15,39,71,79,83,89,97,131,135,99,135,139,143,149,153,113,163,167,115,167,171,175,181,41,9,9,19,41,73,83,41,9,11,23,43,75,87,91,97,45,13,13,27,45,77,91,45,13,15,31,47,79,95,99,105,101,139,143,103,143,147,151,157,161,117,171,175,119,175,179,183,189,49,17,17,35,49,81,99,49,17,19,39,51,83,103,107,113,53,21,21,43,53,85,107,53,21,23,47,55,87,111,115,121,105,147,151,107,151,155,159,165,169,121,179,183,123,183,187,191,197,57,25,25,51,57,89,115,57,25,27,55,59,91,119,123,129,61,29,29,59,63,93,123,61,29,31,63,67,95,127,131,137,109,155,159,111,159,163,167,173,177,125,187,191,127,191,195,199,205,209
total energy without rest,5412.0
energy delay product without rest,1131108.0
schd_time with rest,65,33,1,1,3,33,61,67,33,1,3,7,35,65,71,75,81,37,5,5,11,37,69,75,37,5,7,15,39,71,79,83,89,97,131,135,99,135,139,143,149,153,113,163,167,115,167,171,175,181,41,9,9,19,41,73,83,41,9,11,23,43,75,87,91,97,45,13,13,27,45,77,91,45,13,15,31,47,79,95,99,105,101,139,143,103,143,147,151,157,161,117,171,175,119,175,179,183,189,49,17,17,35,49,81,99,49,17,19,39,51,83,103,107,113,53,21,21,43,53,85,107,53,21,23,47,55,87,111,115,121,105,147,151,107,151,155,159,165,169,121,179,183,123,183,187,191,197,57,25,25,51,57,89,115,57,25,27,55,59,91,119,123,129,61,29,29,59,63,93,123,61,29,31,63,67,95,127,131,137,109,155,159,111,159,163,167,173,177,125,187,191,127,191,195,199,205,209
total energy with rest,5412.0
