write_bmp_header_dfg__7.txt
node ID,3,4,8,9,13,14,17,18,36,37,42,43,45,50,51,53,55,60,61,63,65,70,71,73,75,80,81,83,88,89,91,93,98,99,101,103,108,109,111,113,118,119,124,125,130,131,133,134,137,142,143,145,146,150,152,157,158,160,161,165,167,172,173,175,176,180,182,187,188,190,191,194,199,200,202,203,207,209,214,215,217,218,222,224,229,230,232,233,237,239,244,245,250,251,256,257,259,264,265,267,269,274,275,277,278,282,-1
asap,1,5,1,3,1,3,7,11,1,3,1,3,13,1,15,13,21,1,23,13,21,1,23,13,21,1,23,7,1,9,7,15,1,17,7,15,1,17,7,15,1,17,1,3,1,3,1,3,7,1,9,1,3,7,11,1,13,1,3,7,11,1,13,1,3,7,11,1,13,1,3,7,1,9,1,3,7,11,1,13,1,3,7,11,1,13,1,3,7,11,1,13,1,3,1,3,1,1,3,1,9,1,11,1,3,7,29
alap,369,373,365,367,365,367,371,375,385,387,385,387,385,385,387,377,385,385,387,377,385,385,387,377,385,385,387,385,385,387,377,385,385,387,377,385,385,387,377,385,385,387,385,387,385,387,379,381,385,385,387,375,377,381,385,385,387,375,377,381,385,385,387,375,377,381,385,385,387,379,381,385,385,387,375,377,381,385,385,387,375,377,381,385,385,387,375,377,381,385,385,387,385,387,385,387,385,385,387,377,385,385,387,381,383,387,393
REST,1,5,1,3,1,3,7,11,1,3,1,3,13,1,25,17,21,1,25,17,21,1,25,17,21,1,25,7,1,21,9,15,1,19,9,15,1,19,9,15,1,19,1,3,1,3,1,3,7,1,21,1,3,7,11,1,25,1,3,7,11,1,25,1,3,7,11,1,25,1,3,7,1,21,1,3,7,11,1,25,1,3,7,11,1,25,1,3,7,11,1,25,1,3,1,3,1,1,3,1,9,1,21,1,3,7,-1
E_REST,3,7,5,7,5,7,11,15,1,3,1,3,23,23,25,17,23,23,25,17,23,23,25,17,23,23,25,19,19,21,9,17,17,19,9,17,17,19,9,17,17,19,1,3,1,3,13,15,19,19,21,13,15,19,23,23,25,13,15,19,23,23,25,13,15,19,23,23,25,13,15,19,19,21,13,15,19,23,23,25,13,15,19,23,23,25,13,15,19,23,23,25,1,3,1,3,1,1,3,11,19,19,21,1,3,7,-1
schd_time without rest,1,5,1,3,1,3,7,11,3,5,5,7,13,5,15,15,23,5,25,17,25,5,27,23,31,5,33,7,7,9,7,15,7,17,9,17,7,19,25,33,7,35,7,9,7,9,3,19,23,9,25,1,7,11,15,9,17,1,7,11,15,9,19,1,11,15,19,9,21,3,19,23,9,25,1,11,15,19,9,21,3,15,19,23,11,25,3,15,19,25,11,27,11,13,11,13,1,11,13,1,9,13,15,3,23,27,41
total energy without rest,4778.799999999999
energy delay product without rest,195930.79999999996
schd_time with rest,1,5,1,3,1,3,7,11,3,5,5,7,13,9,15,17,25,9,27,23,31,9,33,25,33,9,35,7,7,11,7,15,7,17,9,17,7,19,15,23,7,25,5,7,5,7,3,19,23,7,25,1,7,11,15,11,17,1,7,11,15,11,17,1,11,15,19,11,21,3,19,23,9,25,1,11,15,19,11,21,3,15,19,23,11,25,3,15,19,25,13,27,5,7,5,7,1,7,9,1,9,9,13,3,23,27,41
total energy with rest,4778.799999999999
energy delay product with rest,195930.79999999996
