0.01
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,159,91,27,15,69,153,75,41,59,57,173,277,169,79,173
latency without REST,159,91,27,17,69,153,75,41,59,57,173,277,169,83,179
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,5062.4,1700.0,522.0,346.8,615.2,3546.0,2568.0,656.0,1002.0,477.6,5715.200000000001,5538.0,2922.0,2038.8,4896.4
energy delay product without REST,804921.6,154700.0,14094.0,5895.6,42448.8,542538.0,192600.0,26896.0,59118.0,27223.2,988729.6000000001,1534026.0,493818.0,169220.4,876455.6
energy with REST,5062.4,1700.0,522.0,334.0,615.2,3546.0,2568.0,656.0,1002.0,477.6,5715.200000000001,5538.0,2922.0,1984.4,4814.8
energy delay product with REST,804921.6,154700.0,14094.0,5010.0,42448.8,542538.0,192600.0,26896.0,59118.0,27223.2,988729.6000000001,1534026.0,493818.0,156767.6,832960.4
0.05
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,159,91,27,15,69,153,75,41,59,57,103,209,169,79,173
latency without REST,159,91,27,17,69,153,75,41,59,57,103,209,169,83,179
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,5062.4,1700.0,522.0,346.8,615.2,3546.0,2568.0,656.0,1002.0,477.6,4798.0,5412.0,2922.0,2038.8,4896.4
energy delay product without REST,804921.6,154700.0,14094.0,5895.6,42448.8,542538.0,192600.0,26896.0,59118.0,27223.2,494194.0,1131108.0,493818.0,169220.4,876455.6
energy with REST,5062.4,1700.0,522.0,334.0,615.2,3546.0,2568.0,656.0,1002.0,477.6,4798.0,5412.0,2922.0,1984.4,4814.8
energy delay product with REST,804921.6,154700.0,14094.0,5010.0,42448.8,542538.0,192600.0,26896.0,59118.0,27223.2,494194.0,1131108.0,493818.0,156767.6,832960.4
0.1
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
latency with REST,159,91,27,15,69,117,75,41,59,57,65,139,101,79,173
latency without REST,159,91,27,17,69,117,75,41,59,57,67,139,101,83,179
ALAP,463,149,45,33,89,353,217,61,105,85,393,693,355,179,469
energy without REST,5062.4,1700.0,522.0,346.8,615.2,3348.0,2568.0,656.0,1002.0,477.6,4381.200000000001,5601.6,2741.6,2038.8,4896.4
energy delay product without REST,804921.6,154700.0,14094.0,5895.6,42448.8,391716.0,192600.0,26896.0,59118.0,27223.2,293540.4,778622.4,276901.6,169220.4,876455.6
energy with REST,5062.4,1700.0,522.0,334.0,615.2,3348.0,2568.0,656.0,1002.0,477.6,4326.0,5601.6,2741.6,1984.4,4814.8
energy delay product with REST,804921.6,154700.0,14094.0,5010.0,42448.8,391716.0,192600.0,26896.0,59118.0,27223.2,281190.0,778622.4,276901.6,156767.6,832960.4
0.2
file name,idctcol_dfg__3.txt,h2v2_smooth_downsample_dfg__6.txt,hal.txt,example.txt,arf.txt,interpolate_aux_dfg__12.txt,collapse_pyr_dfg__113.txt,horner_bezier_surf_dfg__12.txt,motion_vectors_dfg__7.txt,ewf.txt,write_bmp_header_dfg__7.txt,smooth_color_z_triangle_dfg__31.txt,matmul_dfg__3.txt,feedback_points_dfg__7.txt,jpeg_fdct_islow_dfg__6.txt
ASAP,71,47,21,13,23,33,33,29,21,35,29,43,29,31,47
